,X,Y,fact_ampl,fact_freq
0,367155.16,6356069.55,17.8332907132,11.8048327816
1,367163.06,6356020.07,20.0785956934,9.981609320499999
2,367170.85,6355970.69,-16.7089347016,10.171273963700001
3,367178.65,6355921.11,-60.6661294886,11.737521566400002
4,367186.45,6355871.93,-90.91437757700001,5.058494158409999
5,367194.34,6355822.55,-16.7926491594,7.188465793360001
6,367202.14,6355773.17,40.4990923273,10.6418788142
7,367209.94,6355724.09,-3.6663729990400005,8.67438995485
8,367217.83,6355674.01,-19.3441353571,11.120537071800001
9,367225.63,6355625.03,-12.8337349766,10.268683251799999
10,367233.43,6355575.65,-37.7150030209,7.655470939700001
11,367241.32,6355526.07,-34.487650341700004,10.15699289
12,367249.12,6355476.89,-55.5977398875,8.98549095978
13,367256.92,6355427.41,37.577890451,11.052338143
14,367264.72,6355378.03,26.722680672800003,14.3792048514
15,367272.51,6355328.95,-5.61569941039,9.36056860119
16,367280.41,6355279.47,-11.2923714155,7.2262612898
17,367288.21,6355230.09,-35.9003082948,13.8387074218
18,367296.0,6355180.41,-57.02863112479999,10.2981478988
19,367303.8,6355131.33,-21.8149881674,10.9497266427
20,367311.7,6355081.45,-43.8718734848,10.1071353945
21,367319.39,6355032.77,-39.2520652637,8.96164672672
22,367327.19,6354983.29,-34.6779469807,10.5431540777
23,367335.09,6354933.71,-34.3813717938,9.57063099313
24,367342.88,6354884.23,-54.6858431075,7.238152475710001
25,367350.58,6354835.25,-36.3144368302,7.800902485560001
26,367358.48,6354785.47,-20.5863561755,7.84986575625
27,367366.27,6354736.59,-4.48411767837,9.02827959635
28,367374.17,6354686.71,-3.19499323007,10.637826976
29,367381.97,6354637.53,37.0804240242,10.077571322999999
30,367389.77,6354588.35,-41.9365285099,10.4520096823
31,367397.56,6354538.67,-19.1020406346,9.46607946913
32,367405.36,6354489.69,-29.421127931399997,11.2227080745
33,367413.36,6354439.61,-33.1207013276,10.2508656439
34,367421.05,6354390.63,-10.1881039714,8.52385856957
35,367428.85,6354341.35,-11.7577073151,3.39204183233
36,367436.75,6354292.07,9.62933007671,5.561911797940001
37,367444.54,6354242.59,19.2685588302,10.66892939
38,367452.44,6354193.11,-2.49284506588,6.53394999763
39,367460.14,6354144.03,21.2813790294,7.4130430807300005
40,367467.63,6356017.48,-43.0791631135,4.50116018206
41,367468.03,6354094.55,62.8914390987,5.60189162128
42,367475.13,6354045.36,51.1078743298,8.47720850197
43,367475.43,6355968.1,-59.243585323699996,11.648855409200001
44,367483.03,6353995.68,62.398724450799996,12.7397857806
45,367483.13,6355918.82,13.9665188748,7.63218620866
46,367490.82,6353946.7,31.6679768904,11.204791018599998
47,367490.92,6355869.53,37.7503267388,9.507706468119999
48,367498.72,6353897.22,26.049013236999997,15.970444623299999
49,367498.82,6355819.75,2.93658553145,12.432610305699999
50,367506.52,6353847.84,53.3825262029,21.806263717800004
51,367506.52,6355770.77,-23.149905413200003,7.021961344389999
52,367514.32,6355721.39,-33.0282520478,6.26400947361
53,367514.42,6353798.56,19.7706828086,10.978924431600001
54,367522.11,6355672.21,-56.0541792129,7.73420500418
55,367522.21,6353749.08,4.94070653505,13.439527258599998
56,367530.01,6355622.33,8.1267238999,8.185030286769999
57,367530.11,6353699.6,13.371237541300001,11.4530199649
58,367537.71,6355573.35,-36.758087388,7.80831671895
59,367537.91,6353650.42,30.540956914499997,19.235962393599998
60,367545.5,6355523.77,-20.2236854038,9.97668201422
61,367545.8,6353601.14,57.1674577894,15.636896608499999
62,367553.4,6355474.09,-38.8326423141,7.880922136080001
63,367553.7,6353551.56,21.4148385031,18.8803217265
64,367560.9,6355425.11,-57.9228059813,9.523194595760001
65,367561.5,6353502.28,23.6970843533,17.728168415
66,367568.89,6355375.23,-18.6009296447,10.2314096115
67,367569.39,6353452.8,32.2091317118,14.3112975664
68,367576.59,6355326.35,-25.0271946876,10.542300004500001
69,367577.19,6353403.82,40.5357540213,11.032839931199998
70,367584.39,6355276.87,-44.5969055434,8.64438496963
71,367585.09,6353354.14,138.09299553,9.40084083139
72,367592.18,6355227.69,-19.5002883581,9.632784670680001
73,367592.88,6353304.66,42.7446275727,12.257582994000002
74,367599.98,6355178.11,-21.4821580068,10.2037748911
75,367600.68,6353255.48,47.1617863332,14.032821851800001
76,367607.88,6355128.63,-39.5809233852,9.58123928372
77,367608.58,6353206.0,96.8452504051,19.9816377943
78,367615.67,6355079.35,-3.47994366977,9.323323619260002
79,367616.37,6353156.92,56.702224361999995,14.911588780999999
80,367623.47,6355029.97,-35.5709212699,8.10745106003
81,367624.27,6353107.44,65.7667265779,16.6285258203
82,367631.27,6354980.79,-8.19982464386,9.8341332008
83,367632.17,6353057.96,277.264188402,13.2982363479
84,367638.97,6354931.61,-34.9009551521,8.7271381745
85,367639.97,6353008.68,232.352187101,10.981324263
86,367646.86,6354881.93,-14.4587270382,9.76237339033
87,367647.76,6352959.5,51.3104538948,15.801278424100001
88,367654.66,6354832.45,-38.0462551417,10.8163359493
89,367655.66,6352909.92,71.6493797142,16.7171163496
90,367662.46,6354783.47,23.4428262022,8.68096730814
91,367663.46,6352860.84,142.786704887,16.3215887908
92,367670.35,6354733.59,2.02472748312,6.13650585398
93,367671.35,6352811.26,97.3570790569,11.250458930599999
94,367678.15,6354684.41,-29.6972269831,7.21571702585
95,367679.15,6352762.08,73.0424317915,12.8645760328
96,367685.95,6354635.13,-25.815274631100003,5.645769651749999
97,367687.05,6352712.6,68.1233203531,11.380077876500001
98,367693.84,6354585.75,23.073342839200002,11.2980508415
