,X,Y,fact_ampl,fact_freq,FFID
89,370268.91,6355424.01,118.988899909,14.931880386500001,24395012
90,370288.21,6351783.57,193.58136479599997,13.059884698,23675001
91,370290.8,6352087.65,88.460739869,14.5616142522,23735002
92,370293.4,6352391.73,133.73973930399998,13.5264042859,23795003
93,370295.9,6352695.5,59.049480332399995,15.39053367,23855004
94,370298.4,6352999.58,77.2452807864,16.9839220723,23915005
95,370300.5,6353303.56,66.8592813532,16.811354187,23975006
96,370305.5,6353911.62,99.7584990825,14.5650642679,24095008
97,370308.0,6354215.5,112.816561421,14.6707244348,24155009
98,370310.7,6353558.06,26.436611074699996,16.8732969165,24025007
99,370310.7,6354519.58,116.501037741,14.8680700834,24215010
100,370313.0,6354823.75,90.2435565178,15.7998156097,24275011
101,370315.39,6355127.53,78.9361722591,15.491553881300002,24335012
102,370317.69,6355431.61,106.14483074200001,16.0012192227,24395013
103,370335.49,6351487.59,149.805175376,12.8286648598,23615001
104,370338.09,6351791.47,175.346656011,14.5413993128,23675002
105,370340.58,6352095.55,119.35753912700001,14.094699007400001,23735003
106,370341.88,6352399.32,72.904180893,15.559779819300001,23795004
107,370344.88,6352703.3,80.2019417971,16.1479043155,23855005
108,370347.48,6353007.28,46.249991603999995,18.8705719433,23915006
109,370350.48,6353311.46,101.59924024700001,15.690187838499998,23975007
110,370354.58,6353919.42,110.328013203,14.477024195699999,24095009
111,370357.08,6354223.29,83.936930806,15.3910017148,24155010
112,370359.98,6354527.37,98.90421757690001,15.838275145499999,24215011
113,370360.28,6353565.96,100.124046583,14.2259187269,24025008
114,370361.98,6354831.55,80.1325891827,16.160873815,24275012
115,370364.57,6355135.33,88.98592764200001,15.2018824466,24335013
116,370367.27,6355439.51,151.399140378,14.373623085799998,24395014
117,370382.57,6351191.31,131.577632977,15.343010590499999,23555001
118,370384.47,6351495.39,167.261783489,12.625051779000001,23615002
119,370387.17,6351799.26,195.015462983,11.4916122286,23675003
120,370389.86,6352103.34,176.42095284299998,12.4279228341,23735004
121,370392.26,6352407.32,81.7488316627,15.4689656528,23795005
122,370394.46,6352711.2,77.5378543163,16.9783343591,23855006
123,370396.86,6353015.08,61.9242215992,17.525018351099998,23915007
124,370398.86,6353319.16,44.868724617299996,17.603361540199998,23975008
125,370404.26,6353927.21,114.4553327,14.6606901524,24095010
126,370406.46,6354231.09,81.73475122149999,16.048299729700002,24155011
127,370409.26,6354535.07,130.459039445,14.726111621,24215012
128,370411.86,6354839.45,98.2650530916,15.309486551600001,24275013
129,370413.76,6355143.13,91.0883424292,14.8544220502,24335014
130,370416.95,6355447.3,110.682503287,15.4187310876,24395015
131,370417.25,6353524.67,51.6130765193,17.4735820613,24015009
132,370429.05,6350895.03,187.506624705,12.1508197742,23495001
133,370431.65,6351199.1,175.91016020599997,13.8905730892,23555002
134,370434.35,6351503.28,109.373911424,13.7430922652,23615003
135,370436.55,6351807.06,148.926696118,11.998462528800001,23675004
136,370439.25,6352111.14,144.009453556,14.3464105376,23735005
137,370441.94,6352415.22,114.794606514,14.1804425094,23795006
138,370444.44,6352719.1,70.9940891604,17.0229400229,23855007
