,X,Y,fact_ampl,fact_freq
0,367155.16,6356069.55,0.9875381798630001,0.286323723686
1,367163.06,6356020.07,1.2686570458,6.0538952538199995
2,367170.85,6355970.69,1.3038429969299998,4.434257382169999
3,367178.65,6355921.11,0.7520633088490001,0.0517777002
4,367186.45,6355871.93,1.21411413306,-0.258639998289
5,367194.34,6355822.55,1.92998275653,3.45023637249
6,367202.14,6355773.17,1.8380342672,8.71751566705
7,367209.94,6355724.09,1.3888224111200003,2.8473848247099998
8,367217.83,6355674.01,1.11688582367,2.17356139959
9,367225.63,6355625.03,0.9507023535670001,2.7124021290099996
10,367233.43,6355575.65,1.6852667298299997,4.26387679191
11,367241.32,6355526.07,1.67162684947,0.162367784729
12,367249.12,6355476.89,1.01119594801,0.850255418717
13,367256.92,6355427.41,1.9100581403599999,2.63155843333
14,367264.72,6355378.03,1.2625134275299998,1.7754036549599999
15,367272.51,6355328.95,1.31584745938,2.3400062820299996
16,367280.41,6355279.47,1.9075178542200002,6.85165777099
17,367288.21,6355230.09,1.33345729886,1.97534157748
18,367296.0,6355180.41,1.14664807176,1.32169073725
19,367303.8,6355131.33,1.36412046712,1.23479777892
20,367311.7,6355081.45,1.26647781795,1.53585192404
21,367319.39,6355032.77,1.2935768791700002,1.8484937867700002
22,367327.19,6354983.29,1.32139603827,1.73360997842
23,367335.09,6354933.71,1.38338409088,2.23842322421
24,367342.88,6354884.23,1.37286699479,2.26530564217
25,367350.58,6354835.25,1.39127524501,3.40361860247
26,367358.48,6354785.47,1.32579115496,3.17626715708
27,367366.27,6354736.59,1.47445773777,3.14315581926
28,367374.17,6354686.71,1.4174385860799998,3.67783337356
29,367381.97,6354637.53,1.37960827566,3.60002620521
30,367389.77,6354588.35,0.989744873254,3.59603504449
31,367397.56,6354538.67,1.3192452695999999,4.49442150845
32,367405.36,6354489.69,1.32606712886,4.52285078285
33,367413.36,6354439.61,1.4551041011399999,4.60017518745
34,367421.05,6354390.63,1.2520286142700001,5.835392358940001
35,367428.85,6354341.35,1.57083213402,7.290028534439998
36,367436.75,6354292.07,1.29582260379,5.65795452666
37,367444.54,6354242.59,1.21660928759,4.30289972799
38,367452.44,6354193.11,1.6738391656600002,5.5958092721099995
39,367460.14,6354144.03,2.45117679624,7.17742886727
40,367467.63,6356017.48,1.6883420835799998,1.5862359699700002
41,367468.03,6354094.55,4.59626343426,9.0001464956
42,367475.13,6354045.36,4.84168756779,6.77441831403
43,367475.43,6355968.1,1.12472884356,3.1992767634599995
44,367483.03,6353995.68,1.92851383026,4.83665898746
45,367483.13,6355918.82,1.9283764867500002,3.6329219526699994
46,367490.82,6353946.7,1.66295711009,4.86007421804
47,367490.92,6355869.53,1.33604414448,3.8709067496900005
48,367498.72,6353897.22,2.81741875625,9.57175597604
49,367498.82,6355819.75,1.5001950204499999,2.96435682364
50,367506.52,6353847.84,2.21272286812,8.488773428830001
51,367506.52,6355770.77,2.0695390165000003,6.71157556443
52,367514.32,6355721.39,1.58913704615,3.9684623276599997
53,367514.42,6353798.56,3.02216728389,7.429403098060001
54,367522.11,6355672.21,1.84200949342,1.4737267193099999
55,367522.21,6353749.08,1.5360158179499999,4.57316673208
56,367530.01,6355622.33,1.61956352638,0.9853685014899999
57,367530.11,6353699.6,2.66010077083,7.714932012939999
58,367537.71,6355573.35,1.42538369727,1.7534983025
59,367537.91,6353650.42,1.7351013164200002,7.168730911539999
60,367545.5,6355523.77,1.3950696921399999,2.2724591211300003
61,367545.8,6353601.14,1.9298473756,8.730702062939999
62,367553.4,6355474.09,1.53920313554,4.14783584836
63,367553.7,6353551.56,1.6220719329299997,8.028201773660001
64,367560.9,6355425.11,0.952923906136,1.54574448762
65,367561.5,6353502.28,1.9478357589200002,9.10372824261
66,367568.89,6355375.23,1.29583483229,2.52108557645
67,367569.39,6353452.8,1.82318757094,5.68139775796
68,367576.59,6355326.35,1.36128109368,1.7708013996599998
69,367577.19,6353403.82,1.6016093069600001,3.86804600821
70,367584.39,6355276.87,1.27892392597,1.57941498446
71,367585.09,6353354.14,1.7358232963999998,4.97272570663
72,367592.18,6355227.69,1.4317003618700002,1.62835372734
73,367592.88,6353304.66,1.43947059766,4.9071363124800005
74,367599.98,6355178.11,1.31281084138,1.69186803508
75,367600.68,6353255.48,1.83753897699,10.5968235017
76,367607.88,6355128.63,1.27006730278,1.74744189528
77,367608.58,6353206.0,3.11652317968,6.83455557406
78,367615.67,6355079.35,1.35601903455,2.17138433087
79,367616.37,6353156.92,1.61255374602,6.105057682590001
80,367623.47,6355029.97,1.1515307661799998,2.5974668424500003
81,367624.27,6353107.44,1.49155887464,3.64365799171
82,367631.27,6354980.79,1.24897112094,2.6148176301099997
83,367632.17,6353057.96,2.02213336188,6.8643403548399995
84,367638.97,6354931.61,1.1713171414,2.4225977078
85,367639.97,6353008.68,2.22563861412,9.443209395930001
86,367646.86,6354881.93,1.17960045935,2.50257484742
87,367647.76,6352959.5,17.8210692577,12.2076412105
88,367654.66,6354832.45,1.12449827373,2.87387377209
89,367655.66,6352909.92,1.66257794948,5.69452113744
90,367662.46,6354783.47,1.46553165865,2.8608741780799996
91,367663.46,6352860.84,2.28351873035,9.70967653848
92,367670.35,6354733.59,1.31740627285,3.2115424832599997
93,367671.35,6352811.26,1.9222326979299997,7.918074620770001
94,367678.15,6354684.41,1.24470383252,4.049655538080001
95,367679.15,6352762.08,1.6821264663600002,9.24957123102
96,367685.95,6354635.13,1.3146563846700001,4.88410720907
97,367687.05,6352712.6,1.7787695632,5.5608219203400004
