,V0,X,Y,FFID,Elevation
5375,1.1470588235294117,377062.39,6347998.28,22715123,105.4
5376,1.2857142857142858,377073.99,6349518.38,23015128,114.7
5377,1.0588235294117647,377449.24,6352259.88,23545144,120.2
5378,1.0588235294117647,377400.16,6352252.18,23545143,121.3
5379,1.3846153846153846,377024.81,6349510.58,23015127,114.9
5380,1.125,377351.08,6352244.39,23545142,121.0
5381,1.0588235294117647,376970.83,6347933.61,22705121,106.6
5382,1.2857142857142858,376975.43,6349502.78,23015126,115.4
5383,1.2,377019.81,6347941.61,22705122,104.7
5384,1.3846153846153846,376925.85,6349494.99,23015125,116.0
5385,1.125,376876.37,6349487.09,23015124,117.3
5386,1.125,376827.09,6349479.29,23015123,117.7
5387,1.125,376777.61,6349471.5,23015122,117.9
5388,1.0588235294117647,377293.4,6352285.97,23555141,120.9
5389,1.3846153846153846,376728.43,6349463.7,23015121,117.6
5390,1.0588235294117647,377243.82,6352278.07,23555140,120.8
5391,1.0588235294117647,377194.44,6352270.28,23555139,119.5
5392,1.125,377145.36,6352262.48,23555138,119.2
5393,1.2,377095.88,6352254.58,23555137,117.7
5394,1.125,376775.31,6349167.52,22955121,116.4
5395,1.5,377046.6,6352246.78,23555136,118.0
5396,1.2,376824.59,6349175.31,22955122,116.3
5397,1.2857142857142858,376996.72,6352238.89,23555135,118.7
5398,1.0588235294117647,376874.07,6349183.11,22955123,115.6
5399,1.2857142857142858,376923.25,6349190.91,22955124,115.1
5400,1.2857142857142858,376947.84,6352231.09,23555134,119.0
5401,1.2,376972.83,6349198.8,22955125,114.9
5402,0.9473684210526316,376898.26,6352223.29,23555133,119.1
5403,1.2,377022.01,6349206.6,22955126,115.4
5404,1.2,377071.59,6349214.4,22955127,115.1
5405,1.2,377120.67,6349222.19,22955128,115.2
5406,1.2,376784.21,6352306.36,23575131,120.3
5407,1.2,377170.45,6349230.09,22955129,115.3
5408,1.2857142857142858,377219.83,6349237.89,22955130,114.5
5409,1.3846153846153846,377269.01,6349245.69,22955131,113.9
5410,1.3846153846153846,377318.49,6349253.48,22955132,113.9
5411,1.3846153846153846,376849.08,6352215.5,23555132,119.1
5412,1.0,376799.8,6352207.6,23555131,119.2
5413,1.5,377705.74,6348404.52,22775137,104.1
5414,1.2857142857142858,377365.37,6348957.1,22895132,111.1
5415,1.2,376701.54,6352192.01,23555129,119.3
5416,1.6363636363636365,377755.42,6348412.42,22775138,103.9
5417,1.125,377316.19,6348949.3,22895131,110.6
5418,1.2,376651.46,6352184.11,23555128,119.5
5419,1.2,377804.5,6348420.22,22775139,103.6
5420,1.2,376602.38,6352176.31,23555127,119.6
5421,1.125,377853.98,6348428.01,22775140,103.6
5422,0.6923076923076923,376553.3,6352168.62,23555126,119.4
5423,1.125,377903.46,6348435.91,22775141,103.5
5424,1.2857142857142858,377266.71,6348941.51,22895130,111.1
5425,0.6,376503.52,6352160.72,23555125,119.3
